Record Length,Analog:7000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-02 CH2:+2.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,5000.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ4R4722,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-3.044000E-02,+1.200000E-02,+1.520000E-02
-3.043000E-02,+1.200000E-02,+1.520000E-02
-3.042000E-02,+1.120000E-02,+1.520000E-02
-3.041000E-02,+1.120000E-02,+1.520000E-02
-3.040000E-02,+1.200000E-02,+1.600000E-02
-3.039000E-02,+1.280000E-02,+1.600000E-02
-3.038000E-02,+1.120000E-02,+1.520000E-02
-3.037000E-02,+1.120000E-02,+1.520000E-02
-3.036000E-02,+1.200000E-02,+1.600000E-02
-3.035000E-02,+1.280000E-02,+1.520000E-02
-3.034000E-02,+1.200000E-02,+1.520000E-02
-3.033000E-02,+1.200000E-02,+1.520000E-02
-3.032000E-02,+1.120000E-02,+1.520000E-02
-3.031000E-02,+1.200000E-02,+1.600000E-02
-3.030000E-02,+1.200000E-02,+1.520000E-02
-3.029000E-02,+1.200000E-02,+1.360000E-02
-3.028000E-02,+1.200000E-02,+1.520000E-02
-3.027000E-02,+1.120000E-02,+1.440000E-02
